Feature_No,Feature,LIME_Score,SHAP_Score
1,EmploymentYears,-0.13262470260473871,-0.25
2,SideEffectsAffectView,0,-0.14
3,Age,0,-0.09
4,C_mean,0,0.06
5,Education,0,-0.03
6,D_mean,0,0.02
7,E_mean,0,-0.01
8,A_mean,0,0.01
9,A.BoosterPreventSpread,0.20513772842625536,0
10,S.PreventNewVariant,0.16875111834619808,0
11,S.MOHInfoTrusted,0.13615523890940875,0
12,B.PublicRiskWithoutBooster,0.12553112669171712,0
13,A.RecommendingBooster,0.12259198550326299,0
14,A.ReturnDailyActivities,0.12191760904811222,0
15,S.AgreeMOHRecommendation,0.12167473662713044,0
16,B.PreferNaturalImmunity,-0.11553415807991897,0
17,C.EvidenceInsufficient,-0.11487697275624652,0
