Feature_No,Feature,LIME_Score,SHAP_Score,Final_Score
1,B.PreferNaturalImmunity,-0.0609565176326792,-0.05,0.05266620196459694
2,SideEffectsAffectView,-0.0391116873347733,-0.03,0.03293263808887523
3,P.WorkDemand,0.0314394475752616,0.03,0.0289029463151173
6,C.BoosterNotNeeded,-0.045469204951556,-0.01,0.028011798131431148
10,Location,-0.046330752040304,0.0,0.024334308653137505
9,A.BoosterPreventSpread,0.0441791299704229,0.0,0.02320421183304182
11,B.PublicRiskWithoutBooster,0.0327236882853804,0.0,0.017187468278364725
12,A.RecommendingBooster,0.0300989065182211,0.0,0.015808853711227578
13,C.EvidenceInsufficient,-0.0289720624217122,0.0,0.015217001197705686
14,S.PreventNewVariant,0.02796887983967,0.0,0.014690099442136726
8,Income,0.0,-0.02,0.00826
4,AdditionalVaccines,0.0,-0.01,0.00413
5,P.ChipBelief,0.0,-0.01,0.00413
7,P.LongTermSideEffects,0.0,-0.01,0.00413
