Feature_No,Feature,LIME_Score,SHAP_Score,Final_Score
9,A.BoosterPreventSpread,0.2051377284262553,0.0,0.13532364378666237
1,EmploymentYears,-0.1326247026047387,-0.25,0.11248882104857433
10,S.PreventNewVariant,0.168751118346198,0.0,0.1113204109398681
11,S.MOHInfoTrusted,0.1361552389094087,0.0,0.08981781747909098
12,B.PublicRiskWithoutBooster,0.1255311266917171,0.0,0.08280938666372656
13,A.RecommendingBooster,0.1225919855032629,0.0,0.08087051711361325
14,A.ReturnDailyActivities,0.1219176090481122,0.0,0.08042564975598462
15,S.AgreeMOHRecommendation,0.1216747366271304,0.0,0.08026543358690306
16,B.PreferNaturalImmunity,-0.1155341580799189,0.0,0.07621466501136241
17,C.EvidenceInsufficient,-0.1148769727562465,0.0,0.07578113816418161
2,SideEffectsAffectView,0.0,-0.14,0.014000000000000002
3,Age,0.0,-0.09,0.009
4,C_mean,0.0,0.06,0.006
5,Education,0.0,-0.03,0.003
6,D_mean,0.0,0.02,0.002
7,E_mean,0.0,-0.01,0.001
8,A_mean,0.0,0.01,0.001
