Feature_No,Feature,LIME_Score,SHAP_Score,Final_Score
2,AdditionalVaccines,-0.1078355821417407,-0.07,0.06653971448965312
1,SideEffectsAffectView,-0.0885765875676225,-0.08,0.06104648003829201
4,C_mean,0.091336263450822,0.04,0.050880572806528926
3,Income,-0.0769888378272003,-0.06,0.05035254044871412
10,Race,0.080278616920433,0.0,0.034736005228850474
7,CovidPatientCare,-0.035252752965537,-0.02,0.0209336236711197
5,CovidInfected,-0.0335257273018921,-0.02,0.020186351548305392
11,VaccinationSideEffects,0.0421326489719267,0.0,0.018230507339765382
6,Age,-0.0238360095004338,-0.02,0.01599367732035825
12,Pregnant,-0.0258244726525828,0.0,0.011174071645772242
8,EmploymentYears,0.0,-0.02,0.005679999999999999
9,FamilySideEffects,0.0,-0.02,0.005679999999999999
