Feature,SHAP_Model_1,SHAP_Model_2,SHAP_Model_3,SHAP_Model_4,SHAP_Model_5,SHAP_Model_6
A.BoosterPreventSpread,0.1793829565216897,0.04178926460587909,0.033616,0.0,0.0,0.0
A.BoosterProtectFamily,0.0,0.0007633250977654773,0.030885,0.0,0.0,0.0
A.BoosterProtectSevere,0.0,0.0,0.012965,0.0,0.0,0.0
A.MaintainAntibody,0.0,0.010891121125508163,0.010005,0.0,0.0,0.0
A.NoSeriousSideEffects,0.0,0.0,0.000588,0.0,0.0,0.0
A.RecommendingBooster,0.0,0.0,0.02849,0.0,0.0,0.0
A.ReturnDailyActivities,0.0,0.0,0.011802,0.0,0.0,0.0
A_mean,0.0,0.0,0.0,0.036908,0.101906,0.100842
AdditionalVaccines,0.02671233612616327,0.021034885879455265,0.0,0.023151,0.0,0.0
Age,0.0,0.0,0.00127,0.000249,0.08059,0.023577
B.BoosterMoreSideEffects,0.006074902073697543,0.0,0.0,0.0,0.0,0.0
B.BoosterSafe,0.0,0.0,0.00402,0.0,0.0,0.0
B.EliminateStigma,0.0,0.0004595410381935082,0.000559,0.0,0.0,0.0
B.PreferNaturalImmunity,8.251113778535386e-05,0.03246016058357979,0.020123,0.0,0.0,0.0
B.PublicRiskWithoutBooster,0.007399020659292406,0.006470304867587806,0.025283,0.0,0.0,0.0
B.RiskWithoutBooster,0.0,0.007972245308103459,0.019997,0.0,0.0,0.0
B.SevereCompWithoutBooster,0.011776889809427182,0.012941489121319847,0.011924,0.0,0.0,0.0
B.SkepticalBooster,0.0,0.0,0.003926,0.0,0.0,0.0
B.SpreadFamilyWithoutBooster,0.0,0.000935066942691366,0.015146,0.0,0.0,0.0
B.TransmitPatientsWithoutBooster,0.00011409492462890038,0.0,0.018724,0.0,0.0,0.0
B_mean,0.0,0.0,0.0,0.000153,0.0,0.0
C.BoosterHarm,0.0,0.014434183975669151,0.00657,0.0,0.0,0.0
C.BoosterNotNeeded,0.0,0.0,0.017942,0.0,0.0,0.0
C.EvidenceInsufficient,0.02713579953393125,0.020463164982491875,0.012356,0.0,0.0,0.0
C.SideEffectsNoImpact,0.0,0.004952912951764072,0.0,0.0,0.0,0.0
C.TrustSocialMedia,0.0,0.021467165359140512,0.0,0.0,0.0,0.0
C_mean,0.0,0.0,0.0,0.071365,0.125393,0.129686
CovidInfected,0.0,0.0,0.0,0.003168,0.0,0.0
CovidPatientCare,0.02038017259350121,0.0,0.0,0.010222,0.0,0.0
D_mean,0.0,0.0,0.0,0.00139,0.028578,0.04429
E_mean,0.0,0.0,0.0,0.012259,0.035148,0.06789
Education,0.11136841369947001,0.029739199760516404,0.009952,0.044207,0.036012,0.074686
EmploymentYears,0.0003312201385130234,0.0,0.015601,8.2e-05,0.059722,0.02851
