Feature_Name,Final_Global_Feature_Importance
C_mean,0.234132375
Education,0.2323609311044888
A.BoosterPreventSpread,0.2127214824302442
SideEffectsAffectView,0.19162869541059416
A_mean,0.17360995
Age,0.08311665
EmploymentYears,0.08216960661427322
E_mean,0.08109395
P.WorkDemand,0.0756240109978879
P.EffectivenessVsRisk,0.07352829986000667
AdditionalVaccines,0.05443960815463519
S.VaccineImportantHealth,0.053640307971830406
D_mean,0.05326885
C.EvidenceInsufficient,0.05038954572604898
B.PreferNaturalImmunity,0.04495840417012617
S.AgreeMOHRecommendation,0.0439318788124761
B.PublicRiskWithoutBooster,0.034196893559676166
B.SevereCompWithoutBooster,0.031124262617866195
Income,0.030823668069868727
A.BoosterProtectFamily,0.028426243205656454
A.RecommendingBooster,0.025641
S.VaccineEffectiveSevere,0.02557674300095708
S.PreventNewVariant,0.02526124400143702
P.AlternativeMedicineBelief,0.025034687989808638
B.RiskWithoutBooster,0.024574402379185303
CovidPatientCare,0.02345794238963849
A.MaintainAntibody,0.017989674928544183
C.BoosterHarm,0.017821201779927007
C.TrustSocialMedia,0.01771041142129091
B.TransmitPatientsWithoutBooster,0.016945728312818844
C.BoosterNotNeeded,0.0161478
P.ProtectSevereComp,0.01612325381243609
B.SpreadFamilyWithoutBooster,0.014402830227720322
Gender,0.012240524753750915
A.BoosterProtectSevere,0.011668500000000002
S.MOHInfoTrusted,0.011498399999999999
PatientContact,0.01126963088671037
S.VaccineBeneficialMOH,0.0106731
P.TrustReportsMOH,0.01063455429509682
A.ReturnDailyActivities,0.0106218
S.WorriedSideEffects,0.010003666422207232
S.VaccineImportantPublic,0.009582636346127618
Severity,0.009290547243189843
P.ChipBelief,0.007207316634447023
PreExistingCondition,0.00647595
P.ClinicallyTested,0.005340081352145371
S.VaccineSafe,0.005156067546223605
B.BoosterMoreSideEffects,0.005011794210800437
Occupation,0.0045287745925171674
C.SideEffectsNoImpact,0.0040861531852053
B.BoosterSafe,0.003618
S.VaccineProtectInfection,0.0035784000000000002
B.SkepticalBooster,0.0035334
P.ProtectFlu,0.00278045736727077
P.LongTermSideEffects,0.00251513826687981
CovidInfected,0.0020591999999999997
Location_Kelantan,0.0019032
VaccinationStage,0.00175015300007265
P.HalalDoubt,0.0012274197732566774
FamilySideEffects,0.0011225500000000002
P.HighRiskJob,0.0010861871372375923
B.EliminateStigma,0.0008822213565096374
Location_Pulau Pinang,0.000608451459176615
A.NoSeriousSideEffects,0.0005292
VaccinationSideEffects,0.00036205
Race_Malay,0.00032280366699314245
Religion_Hindu,0.0001534
Location_Kedah,0.00013455
Religion_Islam,0.00010163062251309
B_mean,9.945e-05
P.MandatoryBelief,0.0
Location_Melaka,0.0
Location_Johor,0.0
Location_Kuantan,0.0
Location_Sabah,0.0
Location_Negeri Sembilan,0.0
Location_Perlis,0.0
Religion_Buddha,0.0
Race_Siam,0.0
Race_Indian,0.0
Race_Chinese,0.0
Pregnant,0.0
Location_Selangor,0.0
Location_Terengganu,0.0
Location_Pahang,0.0
