Feature,SHAP_Score
A.BoosterPreventSpread,0.041789264605879
A.BoosterProtectFamily,0.0007633250977654
A.BoosterProtectSevere,0.0
A.MaintainAntibody,0.0108911211255081
A.NoSeriousSideEffects,0.0
A.RecommendingBooster,0.0
A.ReturnDailyActivities,0.0
A_mean,0.0
AdditionalVaccines,0.0210348858794552
Age,0.0
B.BoosterMoreSideEffects,0.0
B.BoosterSafe,0.0
B.EliminateStigma,0.0004595410381935
B.PreferNaturalImmunity,0.0324601605835797
B.PublicRiskWithoutBooster,0.0064703048675878
B.RiskWithoutBooster,0.0079722453081034
B.SevereCompWithoutBooster,0.0129414891213198
B.SkepticalBooster,0.0
B.SpreadFamilyWithoutBooster,0.0009350669426913
B.TransmitPatientsWithoutBooster,0.0
B_mean,0.0
C.BoosterHarm,0.0144341839756691
C.BoosterNotNeeded,0.0
C.EvidenceInsufficient,0.0204631649824918
C.SideEffectsNoImpact,0.004952912951764
C.TrustSocialMedia,0.0214671653591405
C_mean,0.0
CovidInfected,0.0
CovidPatientCare,0.0
D_mean,0.0
E_mean,0.0
Education,0.0297391997605164
EmploymentYears,0.0
FamilySideEffects,0.0
Gender,0.0070220797593439
Income,0.0055411734180227
Location_Johor,0.0
Location_Kedah,0.0
Location_Kelantan,0.0
Location_Kuantan,0.0
Location_Melaka,0.0
Location_Negeri Sembilan,0.0
Location_Pahang,0.0
Location_Perlis,0.0
Location_Pulau Pinang,0.0
Location_Sabah,0.0
Location_Selangor,0.0
Location_Terengganu,0.0
Occupation,0.0045258479909299
P.AlternativeMedicineBelief,0.0303450763512832
P.ChipBelief,0.0053641413750873
P.ClinicallyTested,0.0
P.EffectivenessVsRisk,0.0
P.HalalDoubt,0.0007765088160687
P.HighRiskJob,0.0013165904693789
P.LongTermSideEffects,0.0030486524447028
P.MandatoryBelief,0.0
P.ProtectFlu,0.0033702513542676
P.ProtectSevereComp,0.0181042569265577
P.TrustReportsMOH,0.0
P.WorkDemand,0.0348966356819356
PatientContact,0.0003119162263156
PreExistingCondition,0.0
Pregnant,0.0
Race_Chinese,0.0
Race_Indian,0.0
Race_Malay,0.0
Race_Siam,0.0
Religion_Buddha,0.0
Religion_Hindu,0.0
Religion_Islam,0.0
S.AgreeMOHRecommendation,0.0
S.MOHInfoTrusted,0.0
S.PreventNewVariant,0.0038313260623479
S.VaccineBeneficialMOH,0.0
S.VaccineEffectiveSevere,0.0135212251800155
S.VaccineImportantHealth,0.017066925737628
S.VaccineImportantPublic,0.0003364076922759
S.VaccineProtectInfection,0.0
S.VaccineSafe,0.0004057788439074
S.WorriedSideEffects,0.0118468287644572
Severity,0.0041876936281089
SideEffectsAffectView,0.031193194245353
VaccinationSideEffects,0.0
VaccinationStage,0.001469033939482
