,Feature,Score,P-value,Method
0,A.BoosterPreventSpread,27.963763975622754,4.0848788355212585e-07,ANOVA
1,S.VaccineImportantHealth,25.686816979302254,1.1170087159262439e-06,ANOVA
2,A.BoosterProtectFamily,24.896360029190195,1.5895856918780058e-06,ANOVA
3,B.PublicRiskWithoutBooster,24.36764221734355,2.014823887475429e-06,ANOVA
4,A.BoosterProtectSevere,21.56566301843121,7.1825200287608106e-06,ANOVA
5,S.VaccineEffectiveSevere,20.630428359062318,1.1041969786057213e-05,ANOVA
6,A.RecommendingBooster,19.843313445990034,1.5894923030834722e-05,ANOVA
7,S.PreventNewVariant,19.505924881072538,1.859376271699185e-05,ANOVA
8,B.RiskWithoutBooster,19.19242417518105,2.1518611383308803e-05,ANOVA
9,B.SevereCompWithoutBooster,18.924258395850128,2.4389911697640488e-05,ANOVA
10,B.PreferNaturalImmunity,18.79472057174374,2.5913591725603785e-05,ANOVA
11,B.TransmitPatientsWithoutBooster,18.01014047827528,3.745504682280048e-05,ANOVA
12,C.BoosterNotNeeded,17.751025024280565,4.2322394500850504e-05,ANOVA
13,S.VaccineBeneficialMOH,16.967488551789778,6.133551112557555e-05,ANOVA
14,A.ReturnDailyActivities,16.5766825561789,7.387264377180765e-05,ANOVA
15,P.EffectivenessVsRisk,16.23264105310149,8.705925021474154e-05,ANOVA
16,S.VaccineImportantPublic,16.040196193721698,9.545713690991097e-05,ANOVA
17,B.SpreadFamilyWithoutBooster,15.738330795508702,0.00011032605922979853,ANOVA
18,A.MaintainAntibody,14.914233405762632,0.00016412823907723087,ANOVA
19,C.BoosterHarm,14.806660333687736,0.0001729009070092551,ANOVA
20,S.MOHInfoTrusted,14.078830123756415,0.000246265342532335,ANOVA
21,SideEffectsAffectView,13.275127063781785,0.00026895065781134517,Chi2
22,P.ClinicallyTested,13.498229104952017,0.00032712316676647565,ANOVA
23,S.AgreeMOHRecommendation,12.473643385563987,0.0005420973184751766,ANOVA
24,C.EvidenceInsufficient,12.068055390977147,0.000663082319998098,ANOVA
25,B.BoosterSafe,11.890712438579174,0.0007243420143226897,ANOVA
26,S.VaccineSafe,11.471324625517257,0.0008933033469680307,ANOVA
27,P.WorkDemand,9.038853840626713,0.0030783788122566024,ANOVA
28,EmploymentYears,9.016270969646895,0.0031145241682177817,ANOVA
29,S.VaccineProtectInfection,8.070097730122956,0.005097230246210366,ANOVA
30,P.ChipBelief,7.880769659065866,0.0056302006535253486,ANOVA
31,P.HalalDoubt,7.6955989565239005,0.006207200988036762,ANOVA
32,P.ProtectSevereComp,5.281185380170817,0.022876832209813396,ANOVA
33,P.MandatoryBelief,5.181577497116713,0.024179059766142992,ANOVA
34,Education,5.062756879947071,0.024445321908717826,Chi2
35,A.NoSeriousSideEffects,4.810167700095766,0.02976307263318391,ANOVA
