Feature_No,Feature,LIME_Score,SHAP_Score,Final_Score
1,A.BoosterPreventSpread,0.5641843465975491,0.15,0.46080907297441276
2,Education,0.1284470434154686,0.14,0.18588677428526568
3,SideEffectsAffectView,-0.0763758550844741,-0.07,0.10039737846336416
4,P.EffectivenessVsRisk,0.076735252563304,0.04,0.07766782548409998
7,S.AgreeMOHRecommendation,-0.0991676467512254,-0.02,0.07612739464635153
10,C.EvidenceInsufficient,-0.0961845311008467,0.0,0.05899761286886823
5,B.BoosterMoreSideEffects,0.036643742812669,0.04,0.0530765180823259
8,AdditionalVaccines,-0.056426886720241,-0.02,0.049911091617485207
9,P.WorkDemand,-0.0421506401791978,-0.01,0.03350433565050029
11,Race,-0.0282147895402027,0.0,0.017306371527914203
6,CovidPatientCare,0.0,-0.02,0.015300000000000001
