Feature,SHAP_Importance
A.BoosterPreventSpread,0.18919803620504483
Education,0.12660528604134924
P.EffectivenessVsRisk,0.05484832242986311
P.WorkDemand,0.05348354752607579
S.AgreeMOHRecommendation,0.04865450056692944
SideEffectsAffectView,0.0431692957428788
AdditionalVaccines,0.031448187883131036
B.RiskWithoutBooster,0.027747638729167613
S.VaccineImportantHealth,0.027708289828647713
C.EvidenceInsufficient,0.01994066514289366
B.PublicRiskWithoutBooster,0.017438485349530446
B.BoosterMoreSideEffects,0.01495153879908436
P.MandatoryBelief,0.014348253801870148
P.ChipBelief,0.011479843973038039
VaccinationStage,0.009115648970140054
C.BoosterHarm,0.0
C.BoosterNotNeeded,0.0
Age,0.0
C.SideEffectsNoImpact,0.0
B.EliminateStigma,0.0
B.PreferNaturalImmunity,0.0
B.BoosterSafe,0.0
B.SkepticalBooster,0.0
B.TransmitPatientsWithoutBooster,0.0
B.SpreadFamilyWithoutBooster,0.0
C.TrustSocialMedia,0.0
Race_Malay,0.0
Race_Chinese,0.0
Race_Indian,0.0
Location_Selangor,0.0
Location_Sabah,0.0
Location_Pulau Pinang,0.0
Location_Perlis,0.0
Location_Pahang,0.0
Location_Negeri Sembilan,0.0
Location_Melaka,0.0
Location_Kuantan ,0.0
Location_Kelantan,0.0
Location_Kedah,0.0
Location_Johor,0.0
Religion_Islam,0.0
Religion_Hindu,0.0
Religion_Buddha,0.0
Race_Siam,0.0
B.SevereCompWithoutBooster,0.0
A.BoosterProtectFamily,0.0
A.NoSeriousSideEffects,0.0
CovidInfected,0.0
S.VaccineBeneficialMOH,0.0
S.VaccineImportantPublic,0.0
S.VaccineEffectiveSevere,0.0
FamilySideEffects,0.0
VaccinationSideEffects,0.0
Severity,0.0
PreExistingCondition,0.0
A.MaintainAntibody,0.0
EmploymentYears,0.0
CovidPatientCare,0.0
Occupation,0.0
PatientContact,0.0
Pregnant,0.0
Income,0.0
S.VaccineSafe,0.0
S.MOHInfoTrusted,0.0
S.VaccineProtectInfection,0.0
S.WorriedSideEffects,0.0
S.PreventNewVariant,0.0
P.ProtectFlu,0.0
P.ProtectSevereComp,0.0
P.ClinicallyTested,0.0
P.LongTermSideEffects,0.0
P.TrustReportsMOH,0.0
P.HalalDoubt,0.0
P.AlternativeMedicineBelief,0.0
P.HighRiskJob,0.0
A.BoosterProtectSevere,0.0
Gender,0.0
A.ReturnDailyActivities,0.0
A.RecommendingBooster,0.0
Location_Terengganu,0.0
