Feature,SHAP_Importance
B.PreferNaturalImmunity,0.031888140638014456
P.WorkDemand,0.020370442314329593
Education,0.020165526580741694
A.BoosterPreventSpread,0.013758903449553984
SideEffectsAffectView,0.013160224629449227
C.BoosterNotNeeded,0.011915916645351327
B.PublicRiskWithoutBooster,0.011397670967217399
P.HalalDoubt,0.009462255388463734
A.RecommendingBooster,0.008876410901282137
S.VaccineEffectiveSevere,0.008817095216424386
S.VaccineImportantHealth,0.00870977815935574
A.BoosterProtectFamily,0.00838421715469686
C.EvidenceInsufficient,0.008026534017964538
B.RiskWithoutBooster,0.007463288204841989
B.SevereCompWithoutBooster,0.006391827462558676
S.PreventNewVariant,0.006092378884865341
P.ChipBelief,0.005977957870345236
AdditionalVaccines,0.004789251394095814
A.BoosterProtectSevere,0.004200228298347659
B.TransmitPatientsWithoutBooster,0.003907460785974974
P.LongTermSideEffects,0.0035629592752815043
P.HighRiskJob,0.0033493249776355054
S.VaccineImportantPublic,0.003095235799644657
B.EliminateStigma,0.0029507111897963826
S.VaccineSafe,0.0028670326851958374
C.BoosterHarm,0.002706224412148935
Income,0.0024906731935486065
A.ReturnDailyActivities,0.0023357763272737887
C.TrustSocialMedia,0.0022862077264383324
S.MOHInfoTrusted,0.0022770092902291176
Race_Siam,0.0017607435979810925
A.MaintainAntibody,0.0017116606499803344
EmploymentYears,0.0017094268138406845
B.SkepticalBooster,0.0017092457032074077
Severity,0.0016471426673711747
P.TrustReportsMOH,0.001586523537416814
S.WorriedSideEffects,0.0015227840079064235
Occupation,0.001468984687251428
P.EffectivenessVsRisk,0.001317234558849103
Location_Sabah,0.0012747163199278403
B.SpreadFamilyWithoutBooster,0.0011440820201326426
CovidInfected,0.0011311935322605268
P.ProtectFlu,0.0011257023363864757
C.SideEffectsNoImpact,0.001065094214923923
B.BoosterMoreSideEffects,0.0010299237326960628
A.NoSeriousSideEffects,0.0009656524701072272
P.AlternativeMedicineBelief,0.0009035460211934169
FamilySideEffects,0.000852897613840941
P.ClinicallyTested,0.000624542484551149
Gender,0.0006077529578534055
B.BoosterSafe,0.0005110555220400272
Religion_Buddha,0.0004941974843052817
S.VaccineProtectInfection,0.00045947077191282784
S.VaccineBeneficialMOH,0.00045346506606687675
Age,0.0004475233039606329
Location_Selangor,0.00042273727978635523
VaccinationStage,0.00036693674704824217
PatientContact,0.00029446758380020536
Location_Kelantan,0.00024846126737125237
VaccinationSideEffects,0.0002218261370434512
P.ProtectSevereComp,0.00018360291797006817
Location_Johor,0.00011220229202214916
P.MandatoryBelief,0.0
Pregnant,0.0
Location_Pulau Pinang,0.0
Location_Perlis,0.0
Location_Pahang,0.0
Location_Negeri Sembilan,0.0
Location_Melaka,0.0
Location_Kuantan ,0.0
Religion_Islam,0.0
Location_Kedah,0.0
Religion_Hindu,0.0
CovidPatientCare,0.0
Race_Malay,0.0
Race_Indian,0.0
Race_Chinese,0.0
PreExistingCondition,0.0
S.AgreeMOHRecommendation,0.0
Location_Terengganu,0.0
